epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,242.428,0.59358,0.45042,0.88115,0.87457,0.61959,0.64821,0.52297,0.57558,0.39079,0.85648,0.000155325,0.000155325,0.000155325
69,246.052,0.5531,0.4276,0.87145,0.88634,0.61912,0.64851,0.52164,0.56802,0.38692,0.85642,0.000144077,0.000144077,0.000144077
70,249.742,0.55991,0.44891,0.87331,0.89137,0.61734,0.64869,0.52708,0.56277,0.38692,0.85574,0.000132828,0.000132828,0.000132828
71,253.622,0.52883,0.42945,0.8395,0.89279,0.6169,0.64471,0.52558,0.55841,0.38811,0.85563,0.000121579,0.000121579,0.000121579
72,256.823,0.52039,0.41903,0.83696,0.88107,0.61613,0.65009,0.52557,0.552,0.38946,0.85533,0.00011033,0.00011033,0.00011033
73,260.848,0.50766,0.41277,0.82755,0.88543,0.61325,0.65393,0.52557,0.56333,0.38617,0.85564,9.9081e-05,9.9081e-05,9.9081e-05
74,263.988,0.51031,0.4141,0.84028,0.8915,0.61917,0.65923,0.52837,0.56579,0.38093,0.85462,8.78321e-05,8.78321e-05,8.78321e-05
75,267.248,0.5199,0.39249,0.84009,0.90177,0.61474,0.65897,0.53422,0.55094,0.37744,0.85331,7.65832e-05,7.65832e-05,7.65832e-05
76,270.565,0.5125,0.39864,0.83788,0.89626,0.61427,0.65856,0.53363,0.56213,0.37802,0.85259,6.53344e-05,6.53344e-05,6.53344e-05
77,274.384,0.50837,0.38788,0.84371,0.88825,0.61465,0.65853,0.53156,0.55781,0.37607,0.85421,5.40855e-05,5.40855e-05,5.40855e-05
78,277.513,0.52759,0.38572,0.8348,0.89615,0.61349,0.65593,0.5348,0.5587,0.37272,0.85409,4.28366e-05,4.28366e-05,4.28366e-05
79,280.663,0.49062,0.37844,0.83245,0.89754,0.61404,0.65611,0.53033,0.56212,0.37319,0.85323,3.15878e-05,3.15878e-05,3.15878e-05
80,284.556,0.50403,0.38609,0.82954,0.89576,0.61515,0.65558,0.53105,0.55631,0.37189,0.85268,2.03389e-05,2.03389e-05,2.03389e-05
